                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50591,                0.41965,                0.94097,                0.99031,                      1,                  0.995,                0.95402,                0.33843,                 0.2429,                0.82419,             0.00037228,             0.00037228,             0.00037228
                     37,                0.48635,                0.42984,                0.95256,                0.99283,                      1,                  0.995,                0.95502,                0.31779,                0.23246,                0.82405,             0.00037149,             0.00037149,             0.00037149
                     38,                0.55425,                0.41305,                0.96215,                0.99247,                      1,                  0.995,                0.96666,                0.31148,                0.22475,                0.82821,              0.0003707,              0.0003707,              0.0003707
                     39,                0.51283,                0.41826,                0.93716,                 0.9886,                      1,                  0.995,                0.96353,                0.30515,                0.23844,                0.82412,              0.0003699,              0.0003699,              0.0003699
                     40,                0.48299,                0.42602,                 0.9298,                0.98897,                      1,                  0.995,                0.96096,                0.31969,                 0.2449,                0.82741,             0.00036911,             0.00036911,             0.00036911
                     41,                0.53604,                0.41748,                0.99164,                0.99249,                      1,                  0.995,                0.96105,                0.34103,                0.24429,                0.82856,             0.00036832,             0.00036832,             0.00036832
                     42,                0.49015,                0.40817,                0.95213,                0.99356,                      1,                  0.995,                0.94782,                0.35668,                 0.2442,                0.83233,             0.00036753,             0.00036753,             0.00036753
                     43,                0.48891,                0.43267,                0.93856,                0.99087,                      1,                  0.995,                0.94788,                0.33586,                0.22685,                0.82103,             0.00036674,             0.00036674,             0.00036674
                     44,                0.47275,                0.35305,                0.92229,                0.99001,                      1,                  0.995,                0.95556,                0.32225,                0.23025,                0.81773,             0.00036594,             0.00036594,             0.00036594
                     45,                0.51233,                0.38469,                0.95478,                0.99159,                      1,                  0.995,                0.95076,                0.33068,                0.23571,                0.82352,             0.00036515,             0.00036515,             0.00036515
                     46,                0.46513,                0.36878,                0.92981,                0.99237,                      1,                  0.995,                0.95864,                 0.3375,                0.24457,                0.82771,             0.00036436,             0.00036436,             0.00036436
                     47,                0.48343,                0.41741,                0.95633,                0.99018,                      1,                  0.995,                0.96525,                0.30377,                0.23531,                0.81808,             0.00036357,             0.00036357,             0.00036357
                     48,                0.45195,                0.39421,                0.92128,                0.98917,                      1,                  0.995,                0.96402,                 0.3021,                0.23823,                0.82163,             0.00036278,             0.00036278,             0.00036278
                     49,                0.54253,                 0.4405,                  0.966,                0.99285,                      1,                  0.995,                0.95795,                0.33899,                0.24156,                0.83643,             0.00036198,             0.00036198,             0.00036198
                     50,                0.50464,                0.44097,                0.94739,                 0.9957,                      1,                  0.995,                0.95793,                0.35849,                0.25211,                0.84743,             0.00036119,             0.00036119,             0.00036119
