                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.26259,                0.26896,                0.84867,                0.99688,                      1,                  0.995,                0.99237,                0.14139,                0.12916,                0.75809,                1.2e-05,                1.2e-05,                1.2e-05
                      1,                 0.3074,                0.29475,                0.89452,                0.99785,                      1,                  0.995,                0.99233,                0.14486,                0.12874,                 0.7597,             2.7972e-05,             2.7972e-05,             2.7972e-05
                      2,                0.33689,                0.29082,                0.91523,                0.99792,                      1,                  0.995,                0.99143,                 0.1547,                0.13542,                0.76162,             4.3913e-05,             4.3913e-05,             4.3913e-05
                      3,                0.33799,                 0.2972,                0.88587,                0.99747,                      1,                  0.995,                0.99243,                0.15237,                0.13657,                0.76024,             5.9822e-05,             5.9822e-05,             5.9822e-05
                      4,                0.30076,                0.28721,                0.84737,                0.99699,                      1,                  0.995,                0.99179,                0.16657,                0.14329,                0.76341,             7.5699e-05,             7.5699e-05,             7.5699e-05
                      5,                0.37632,                0.31451,                0.89326,                 0.9965,                      1,                  0.995,                0.99205,                0.17031,                0.14416,                0.76399,             9.1545e-05,             9.1545e-05,             9.1545e-05
                      6,                0.31568,                0.27841,                 0.8345,                0.99618,                      1,                  0.995,                0.98798,                0.16964,                0.14425,                0.76516,             0.00010736,             0.00010736,             0.00010736
                      7,                0.28545,                0.26664,                0.85159,                0.99628,                      1,                  0.995,                0.98973,                0.17606,                0.14679,                0.76659,             0.00012314,             0.00012314,             0.00012314
                      8,                0.34422,                0.29555,                 0.8853,                0.99601,                      1,                  0.995,                 0.9906,                0.19101,                0.15231,                0.77055,             0.00013889,             0.00013889,             0.00013889
                      9,                0.38221,                0.34836,                0.90333,                0.99578,                      1,                  0.995,                0.98894,                0.21088,                0.16361,                0.77397,             0.00015461,             0.00015461,             0.00015461
                     10,                0.37267,                0.33958,                0.87161,                0.99676,                      1,                  0.995,                0.98896,                0.20555,                0.16228,                0.77321,              0.0001703,              0.0001703,              0.0001703
                     11,                0.38648,                 0.3138,                0.90933,                0.99502,                      1,                  0.995,                0.98982,                0.21104,                0.16291,                0.77424,             0.00018595,             0.00018595,             0.00018595
                     12,                 0.3714,                0.34753,                0.87646,                0.99397,                      1,                  0.995,                0.98373,                0.22594,                0.16644,                0.77758,             0.00020158,             0.00020158,             0.00020158
                     13,                0.37705,                0.32886,                0.88199,                0.99459,                      1,                  0.995,                0.96457,                0.28958,                0.18567,                0.79975,             0.00021717,             0.00021717,             0.00021717
                     14,                0.39712,                0.34363,                0.90397,                0.99459,                      1,                  0.995,                0.97497,                0.26213,                0.18187,                0.79722,             0.00023273,             0.00023273,             0.00023273
                     15,                0.40462,                 0.3673,                 0.9237,                0.99613,                      1,                  0.995,                0.96746,                0.26319,                0.20122,                0.79682,             0.00024826,             0.00024826,             0.00024826
                     16,                0.43602,                0.34348,                0.91081,                0.99636,                      1,                  0.995,                0.97403,                0.26856,                0.20896,                0.80255,             0.00026375,             0.00026375,             0.00026375
                     17,                0.41957,                0.35355,                0.90968,                0.99628,                      1,                  0.995,                0.95762,                0.30482,                0.21767,                0.82056,             0.00027922,             0.00027922,             0.00027922
                     18,                  0.425,                0.36862,                 0.9368,                0.99511,                      1,                  0.995,                 0.9639,                0.29581,                0.20635,                0.82223,             0.00029465,             0.00029465,             0.00029465
                     19,                0.41698,                0.36726,                0.91866,                0.99513,                      1,                  0.995,                0.97075,                0.28918,                0.21281,                0.80937,             0.00031006,             0.00031006,             0.00031006
                     20,                0.46092,                0.37158,                0.93897,                0.99685,                      1,                  0.995,                0.96981,                0.28437,                0.21448,                0.81021,             0.00032543,             0.00032543,             0.00032543
                     21,                0.43678,                0.36994,                0.93554,                0.99542,                      1,                  0.995,                0.96648,                0.28971,                0.21846,                0.81366,             0.00034077,             0.00034077,             0.00034077
                     22,                0.48925,                0.39182,                0.96373,                0.99666,                      1,                  0.995,                0.96109,                0.30535,                0.21459,                0.82476,             0.00035607,             0.00035607,             0.00035607
                     23,                0.51072,                0.43019,                0.93148,                0.99539,                      1,                  0.995,                0.95552,                0.32194,                0.22121,                0.83839,             0.00037135,             0.00037135,             0.00037135
                     24,                 0.4754,                0.39415,                0.95683,                0.99498,                      1,                  0.995,                0.95394,                 0.3184,                0.22205,                0.83311,             0.00038659,             0.00038659,             0.00038659
                     25,                0.46177,                 0.4179,                0.94562,                0.99544,                      1,                  0.995,                0.97615,                  0.279,                0.21479,                0.80729,              0.0003901,              0.0003901,              0.0003901
                     26,                 0.4174,                0.38986,                 0.9169,                0.99023,                      1,                  0.995,                0.96465,                0.31178,                0.22366,                0.81171,              0.0003901,              0.0003901,              0.0003901
                     27,                0.49677,                0.43016,                0.92407,                0.99166,                      1,                  0.995,                0.94836,                0.36513,                0.23751,                0.82654,              0.0003897,              0.0003897,              0.0003897
                     28,                0.41535,                0.38002,                0.90809,                0.99556,                      1,                  0.995,                0.95945,                0.32611,                0.22113,                0.82354,             0.00038931,             0.00038931,             0.00038931
                     29,                0.43644,                0.37495,                0.92028,                0.99635,                      1,                  0.995,                0.95752,                0.31876,                0.22744,                0.81963,             0.00038891,             0.00038891,             0.00038891
                     30,                0.48449,                0.41548,                0.93733,                0.99381,                      1,                  0.995,                0.95692,                0.31581,                0.23448,                0.82179,             0.00038852,             0.00038852,             0.00038852
                     31,                0.49147,                0.44168,                0.93733,                0.99204,                      1,                  0.995,                0.95727,                0.31125,                0.22972,                0.81683,             0.00038812,             0.00038812,             0.00038812
                     32,                0.48507,                0.40052,                0.91977,                0.99551,                      1,                  0.995,                0.95963,                0.31635,                0.22384,                0.81543,             0.00038772,             0.00038772,             0.00038772
                     33,                0.51671,                0.44364,                0.94978,                0.99264,                      1,                  0.995,                0.96127,                 0.3116,                 0.2272,                0.80887,             0.00038733,             0.00038733,             0.00038733
                     34,                0.47226,                0.39187,                0.92376,                0.99009,                      1,                  0.995,                0.95531,                0.31182,                 0.2257,                0.81556,             0.00038693,             0.00038693,             0.00038693
                     35,                  0.458,                0.36945,                0.91886,                0.99186,                      1,                  0.995,                0.95675,                0.30973,                0.23078,                0.82186,             0.00038654,             0.00038654,             0.00038654
                     36,                0.47823,                0.40051,                0.92771,                0.99342,                      1,                  0.995,                 0.9552,                0.32024,                0.23649,                0.82509,             0.00038614,             0.00038614,             0.00038614
                     37,                0.41854,                 0.3525,                0.91632,                0.99381,                0.98761,                  0.995,                0.95552,                0.32481,                0.24186,                0.83085,             0.00038574,             0.00038574,             0.00038574
                     38,                0.42568,                0.40357,                0.93815,                0.97822,                0.98452,                0.99125,                0.93788,                 0.3593,                 0.2748,                 0.8404,             0.00038535,             0.00038535,             0.00038535
                     39,                0.46999,                0.39877,                0.93315,                0.97985,                0.98555,                0.99398,                0.94465,                0.34764,                0.27063,                0.83347,             0.00038495,             0.00038495,             0.00038495
                     40,                0.42007,                0.35052,                0.90697,                0.98325,                0.98695,                0.98966,                0.93654,                0.34671,                0.26548,                 0.8326,             0.00038456,             0.00038456,             0.00038456
                     41,                  0.454,                0.36792,                0.91677,                0.97694,                0.99661,                0.99398,                0.95236,                0.32116,                 0.2663,                0.82314,             0.00038416,             0.00038416,             0.00038416
                     42,                0.43365,                 0.3633,                0.91908,                0.98361,                      1,                  0.995,                 0.9544,                0.31129,                0.23419,                0.82657,             0.00038376,             0.00038376,             0.00038376
                     43,                0.53611,                0.44991,                0.97187,                0.99094,                      1,                  0.995,                0.94786,                0.32477,                0.22591,                0.82637,             0.00038337,             0.00038337,             0.00038337
                     44,                0.42532,                0.35102,                0.91369,                0.99291,                      1,                  0.995,                0.95002,                0.33952,                0.22603,                0.82966,             0.00038297,             0.00038297,             0.00038297
                     45,                0.47053,                 0.3862,                0.92989,                0.99243,                      1,                  0.995,                0.94352,                0.35344,                0.23595,                0.82982,             0.00038258,             0.00038258,             0.00038258
                     46,                0.49562,                0.41287,                0.93653,                0.99238,                      1,                  0.995,                0.96105,                0.32102,                0.23074,                0.82005,             0.00038218,             0.00038218,             0.00038218
