Label,X,Y
MIDDLE_FINGER_TIP,226,185
RING_FINGER_TIP,196,197
MIDDLE_FINGER_DIP,224,214
INDEX_FINGER_TIP,280,216
RING_FINGER_DIP,193,223
PINKY_TIP,143,237
INDEX_FINGER_DIP,273,239
MIDDLE_FINGER_PIP,222,249
RING_FINGER_PIP,190,256
PINKY_DIP,146,258
INDEX_FINGER_PIP,264,268
PINKY_PIP,151,284
THUMB_TIP,325,290
MIDDLE_FINGER_MCP,218,303
RING_FINGER_MCP,189,306
INDEX_FINGER_MCP,249,311
THUMB_IP,311,321
PINKY_MCP,162,322
THUMB_MCP,291,360
WRIST,230,393
THUMB_CMC,254,402
WRIST,210,421
